epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
98,21250.1,0.63648,0.71167,1.13976,0.91611,0.89108,0.94693,0.82281,0.5498,0.45119,1.10851,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,21463.9,0.64077,0.71188,1.14076,0.92799,0.8783,0.9462,0.82295,0.54363,0.4522,1.1009,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,21677.4,0.62919,0.69546,1.13078,0.92497,0.88321,0.94652,0.82196,0.54487,0.45437,1.10118,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,21891.4,0.63155,0.69103,1.13148,0.92239,0.88926,0.9468,0.82452,0.54395,0.45017,1.10118,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,22105.5,0.63592,0.69935,1.13115,0.9216,0.88907,0.94788,0.82523,0.54442,0.44989,1.1012,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,22319.7,0.62933,0.69549,1.13149,0.91746,0.8895,0.94644,0.82399,0.54679,0.44712,1.10837,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,22533.6,0.62641,0.68526,1.12259,0.91371,0.89247,0.94631,0.82274,0.54369,0.44774,1.10416,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,22747.8,0.626,0.68604,1.12894,0.91608,0.89327,0.94655,0.82398,0.54229,0.44598,1.10119,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,22961.5,0.6296,0.68426,1.13084,0.91998,0.89139,0.94816,0.82484,0.54149,0.44284,1.10057,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,23174.9,0.62946,0.68051,1.13172,0.91293,0.89305,0.94901,0.82693,0.54203,0.44588,1.09901,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,23388,0.62433,0.67544,1.12764,0.91369,0.89319,0.94901,0.82551,0.53948,0.44606,1.0967,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,23602.2,0.61878,0.67012,1.11895,0.924,0.88719,0.95081,0.82642,0.53877,0.44171,1.09484,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,23815.7,0.61507,0.65412,1.11898,0.92138,0.88704,0.95083,0.82652,0.54084,0.4431,1.09626,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,24029.3,0.61864,0.66809,1.11989,0.92454,0.88653,0.95015,0.82661,0.54247,0.4454,1.09781,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,24242.9,0.60985,0.65294,1.117,0.91965,0.88665,0.94657,0.82626,0.5412,0.44928,1.09676,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,24456.5,0.61612,0.66159,1.11952,0.92256,0.89035,0.95042,0.8292,0.54003,0.448,1.09632,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,24670.5,0.6095,0.6531,1.11429,0.92102,0.88942,0.94983,0.82868,0.54246,0.44584,1.09926,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,24884,0.61311,0.64878,1.11791,0.91989,0.89756,0.95141,0.82867,0.54109,0.44035,1.10028,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,25097.7,0.61592,0.63923,1.11818,0.91804,0.89877,0.95065,0.82833,0.53974,0.43779,1.09761,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,25311.5,0.60068,0.6336,1.10789,0.91465,0.89531,0.94561,0.82698,0.53996,0.44239,1.09523,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,25525.1,0.60786,0.64438,1.11622,0.91833,0.89626,0.94625,0.82636,0.53876,0.44057,1.09325,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,25739.1,0.60479,0.63581,1.10945,0.91056,0.89873,0.94503,0.82572,0.53866,0.43705,1.09386,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,25952.8,0.5976,0.62677,1.10888,0.91039,0.89514,0.94451,0.82603,0.53738,0.43532,1.09315,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,26166.4,0.60456,0.62445,1.1138,0.91515,0.89467,0.94513,0.82757,0.53565,0.435,1.09155,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,26380.7,0.59889,0.61862,1.10551,0.91125,0.89896,0.94545,0.82539,0.53398,0.43333,1.09088,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,26594.5,0.60398,0.62166,1.11286,0.911,0.89884,0.94502,0.82557,0.53459,0.43441,1.09158,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,26808.2,0.60121,0.61786,1.10887,0.91348,0.901,0.94763,0.8251,0.53538,0.43297,1.09327,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,27021.6,0.59705,0.61046,1.1088,0.90933,0.90487,0.94852,0.82594,0.53619,0.43289,1.09411,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,27235.3,0.59838,0.61409,1.11082,0.91427,0.90337,0.95,0.82731,0.53738,0.43251,1.09555,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,27449.2,0.59467,0.60102,1.10346,0.9155,0.90414,0.95014,0.82755,0.53726,0.43156,1.09634,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,27662.6,0.59763,0.60739,1.10383,0.9177,0.9024,0.95067,0.82789,0.53786,0.43299,1.09704,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
